midas_entity	text
yes_no_question organization	haha well do you ever shop at ORGANIZATION?
yes_no_question organization	have you bought anything up to ORGANIZATION?
yes_no_question organization	Do you use ORGANIZATION a lot?
yes_no_question person	Are you a PERSON fan?
yes_no_question person	Are you familiar with PERSON?
yes_no_question person	Isn't it a girl named PERSON?
yes_no_question person	Is there a symbolism behind PERSON?
yes_no_question person	Did you ever watch PERSON
yes_no_question person	Wasn't it PERSON?
yes_no_question person	Was it PERSON.
yes_no_question person	Didn't he have his lawyer PERSON handle all the details?
yes_no_question person	oooh is that with PERSON?
yes_no_question person	Did you hear that PERSON story about he and his sister?
yes_no_question softwareapplication	Do you watch SOFTWAREAPPLICATION?
yes_no_question softwareapplication	Do you also use SOFTWAREAPPLICATION?
yes_no_question softwareapplication	Do people like him make much money from SOFTWAREAPPLICATION.
yes_no_question softwareapplication	On a lighter note do you watch SOFTWAREAPPLICATION?
yes_no_question softwareapplication	SOFTWAREAPPLICATION is probably convenient but isnt it always listening to you?
yes_no_question softwareapplication	Do  you see him on SOFTWAREAPPLICATION?
yes_no_question softwareapplication	Wow... is SOFTWAREAPPLICATION still around ?
yes_no_question softwareapplication	Do you use SOFTWAREAPPLICATION a lot?
yes_no_question softwareapplication	Do you watch SOFTWAREAPPLICATION?
yes_no_question softwareapplication	do you watch SOFTWAREAPPLICATION by the way?
yes_no_question sport	I wouldn't know much about that so do you like SPORT as well?
yes_no_question sport	Do you enjoy SPORT?
yes_no_question sport	Are you a fan of SPORT?
yes_no_question sport	yes.are you like SPORT?
yes_no_question sport	Do you enjoy SPORT?
yes_no_question sport	But can you use the tongue is SPORT?
yes_no_question sport	I don't suppose then you have time to watch SPORT much do you?
yes_no_question sport	Do you also like SPORT?
yes_no_question sport	Do you enjoy SPORT?
yes_no_question sport	Do you like SPORT?
yes_no_question sportteam	Do you remember when the SPORTTEAM first came out?
yes_no_question sportteam	Do you think SPORTTEAM will win it this season?
yes_no_question sportteam	Do you like SPORTTEAM?
yes_no_question sportteam	Do you know much about SPORTTEAM?
yes_no_question sportteam	Have you heard of the SPORTTEAM?
yes_no_question sportteam	Will SPORTTEAM make it?
yes_no_question sportteam	Did he yell at the SPORTTEAM.
yes_no_question sportteam	Is that when SPORTTEAM were founded.
yes_no_question sportteam	Did you know that one of your SPORTTEAM.
yes_no_question sportteam	Did you know the SPORTTEAM community owned?
yes_no_question videoname	Ever watched VIDEONAME on TV?
yes_no_question videoname	Are you a VIDEONAME fan?
yes_no_question videoname	Have you watched VIDEONAME?
yes_no_question videoname	Have u ever watched VIDEONAME?
yes_no_question videoname	Did you ever watch the VIDEONAME movie?
yes_no_question videoname	Did you ever watch VIDEONAME when you did?
yes_no_question videoname	Did you ever watch VIDEONAME?
yes_no_question videoname	Weren't they called the VIDEONAME?
yes_no_question videoname	Do you like VIDEONAME?
yes_no_question videoname	Have you ever read VIDEONAME?
