midas_entity	normalized_text
statement position	I've heard it somewhere... that was before they were elected a POSITION right ?
statement position	yeah based on the fact that the POSITION was always the runer up
statement position	The only Fake News I hear is the POSITION's tweets.
statement position	The POSITION is criticized for not reading much.
statement softwareapplication	Well they published the governments plans to destroy SOFTWAREAPPLICATION so Im sure they would have no problem leaking it.
statement softwareapplication	My family watches those SOFTWAREAPPLICATION Originals.
statement softwareapplication	You know I had heard they were allowing their constitution to be rewritten via SOFTWAREAPPLICATION.
statement softwareapplication	Buy a real game or get a SOFTWAREAPPLICATION subscription - go hang out with some friends and watch a movie.
statement softwareapplication	I actually pay for SOFTWAREAPPLICATION Red so I don't have to deal with ads.
statement softwareapplication	I had a SOFTWAREAPPLICATION account as well.
statement softwareapplication	I use SOFTWAREAPPLICATION to learn how to cook and fix stuff around my house.
statement softwareapplication	Well I do have SOFTWAREAPPLICATION.
statement softwareapplication	I use SOFTWAREAPPLICATION quite a bit.
statement softwareapplication	I watch SOFTWAREAPPLICATION when I can.
statement sport	Yeah SPORT coaches make a lot of money!
statement sport	There's always SPORT too.
statement sport	Yea in SPORT.
statement sport	I watch a lot of SPORT.
statement sport	i dont pay a lot of attention to SPORT.
statement sport	I played SPORT.
statement sport	i dont follow SPORT much.
statement sport	professional... SPORT team ?
statement sport	He was a huge SPORT player a long time ago.
statement sport	An SPORT hockey ring remains under a basketball court when switching stadium sports.
statement sportrole	The SPORTROLE must get paid a lot of money.
statement sportrole	Yea the greatest SPORTROLE of all time was left handed.
statement sportrole	There was just the first female non-SPORTROLE signed to a scholarship.
statement sportrole	I don't know how many AA SPORTROLE have played.
statement sportrole	He's a SPORTROLE.
statement sportrole	Place SPORTROLE is used for kickoffs and field goals.
statement sportrole	And the SPORTROLE seem to make the most of them all.
statement sportrole	He never fumbled a football in his entire career and he was a running SPORTROLE!
statement sportrole	Well the SPORTROLE gets the ball and can pass it.
statement sportrole	Ia m also surprised there is only one left handed SPORTROLE.
statement sportteam	You're a SPORTTEAM fan.
statement sportteam	He played for the SPORTTEAM.
statement sportteam	The only hockey I can think of is the SPORTTEAM.
statement sportteam	I know that the SPORTTEAM Orchestra has been playing a new low brass concerto she composed.
statement sportteam	Never knew there was a SPORTTEAM tailgate show on local cable.
statement sportteam	SPORTTEAM are the team to beat?
statement sportteam	Their nickname is the SPORTTEAM.
statement sportteam	He is the SPORTTEAM QB.
statement sportteam	Oh I didn't know there was a new headcase on the SPORTTEAM?
statement sportteam	It was just a SPORTTEAM game that I went to.
statement vehicle	lol  The old VEHICLE a long time ago used to carry wooden trunks on the back of them and that's how the back of a car became to be known as a trunk.
statement vehicle	I know I have been trying to get one installed in my VEHICLE but no one does that where i live.
statement vehicle	I own a VEHICLE.
statement vehicle	These days we depend on VEHICLE so much.
statement vehicle	Yeah I do when I am in my VEHICLE.
statement vehicle	Because soldiers couldnt get out of their VEHICLE in their fatigues.
statement vehicle	The dutch are creating a VEHICLE designed to travel at 160mph.
statement vehicle	Fascinating - they had a grand piano on the VEHICLE?
statement vehicle	its a class A mishap which can be the total destruction of the VEHICLE... $100 million in a pile of twisted metal.
statement vehicle	And people here forget about their dogs in their VEHICLE and they die.
statement videoname	It is VIDEONAME and there is a sequel coming up
statement videoname	I've seen VIDEONAME but never a full one.
statement videoname	I watch VIDEONAME every sunday night!
statement videoname	Watch The Grand Tour: VIDEONAME series.
statement videoname	He can sit and watch VIDEONAME without budging.
statement videoname	VIDEONAME.
statement videoname	We steered our kids towards VIDEONAME.
statement videoname	Yeah I forgot he was in VIDEONAME.
statement videoname	VIDEONAME.
statement videoname	They copied VIDEONAME!
statement wear	I was regularly use WEAR only.
statement wear	Some WEAR also have fold down ear flaps to keep ears warm.
statement wear	Apparently there is a super WEAR that's banned.
statement wear	WEAR originally were made out of leather or matted animal fur.
statement wear	Yep their WEAR are noticeable!
statement wear	He wore them WEAR even though it were against the rules!
statement wear	Yeah for some special WEAR for those leans.
statement wear	I do know that high WEAR were originally invented for men.
statement wear	Actually that is what I though too but it is the WEAR
statement wear	I looked at a picture of WEAR.
statement year	Yeah that was back in YEAR and still stands as a record
statement year	He was big in the YEAR.
statement year	Yeah but that is not a lot because they have been around since YEAR
statement year	One of the most popular groups was called Seo Tajij and Boys they formed in YEAR.
statement year	YEAR.
statement year	I just learned that their album was the best selling of the YEAR.
statement year	the one built back in YEAR?
statement year	In YEAR when they had their IPO they were valued at $104 billion then.
statement year	THat was in YEAR roughly.
statement year	"I also read that there was a ""moral panic"" because of the spread of the reading of novels in the YEAR."
yes_no_question device	Yeah Have you heard of DEVICE?
yes_no_question device	Are you a DEVICE person?
yes_no_question device	do you use your DEVICE much?
yes_no_question device	Do you watch anything lately on DEVICE?
yes_no_question device	Yeah Do you know when the DEVICE first came out?
yes_no_question device	Have you heard of these transhumanists who want to load themselves on to DEVICE sticks?
yes_no_question device	Yeah maybe in the near future it will so do you watch a lot of DEVICE?
yes_no_question device	Was there a reason that such a light DEVICE was built?
yes_no_question device	Do you think it will be possible one day to upload our minds into DEVICE?
yes_no_question device	Did yo know that you could make a with just pencil and DEVICE?
yes_no_question event	Have you ever watched the EVENT?
yes_no_question event	Can you imagine the EVENT shows.
yes_no_question event	Do you like EVENT?
yes_no_question event	That was back in the EVENT wasnt it.
yes_no_question event	Did you watch much of the EVENT this year?
yes_no_question event	So did you watch the EVENT or have any fantasy drafts?
yes_no_question event	Did you see the end of the EVENT?
yes_no_question event	Do you watch the EVENT?
yes_no_question event	Did you watch the EVENT this year?
yes_no_question event	Did you know that the media are who actually labeled them 'EVENT.'
yes_no_question genre	Do you like GENRE?
yes_no_question genre	Do you like GENRE?
yes_no_question genre	Would you be interested in hearing classic radio GENRE?
yes_no_question genre	Have you ever been to a GENRE?
yes_no_question genre	Do you like the GENRE?
yes_no_question genre	Are you sure that wasn't in a GENRE?
yes_no_question genre	Do you like GENRE at all?
yes_no_question genre	did you see the two GENRE masks?
yes_no_question genre	Aren't they a GENRE band ?
yes_no_question genre	Would you get more votes with a good GENRE?
yes_no_question location	have you ever looked at the LOCATION on google maps?
yes_no_question location	"do you think the LOCATION team name of ""tall blacks"" seems a little racist??"
yes_no_question location	Did you know Astronaunts vote in LOCATION?
yes_no_question location	Is there nothing else to do in the great land of LOCATION in the winter?
yes_no_question location	Did you know that there is internet service at the peak of LOCATION.
yes_no_question location	Do you believe that there is a backup of the Internet in the LOCATION?
yes_no_question location	Did you know there is a 3g cell service at the top of LOCATION
yes_no_question location	LOL Have you ever been to LOCATION?
yes_no_question location	Have you been to LOCATION?
yes_no_question location	Didn't a man from LOCATION invent it?
yes_no_question number	Did you know that Astronomers detected building blocks in a planet NUMBER light years away.
yes_no_question number	Have you ever tried to separate NUMBER phonebooks that have overlapped pages?
yes_no_question number	Did you know that dogs can learn over NUMBER words?
yes_no_question number	Did you know that there are NUMBER different blood types for dogs?
yes_no_question number	Doesn't she make NUMBER his salary?
yes_no_question number	do u know the factual section NUMBER dance
yes_no_question number	Could you imagine driving at NUMBER?
yes_no_question number	Did you hear about that one guy who found$3 NUMBER dollars worth of baseball cards in is attic?
yes_no_question number	Didn't it only have like NUMBER episodes that aired?
yes_no_question number	Did you know that there have been over NUMBER episodes?
yes_no_question organization	Have you seen any of the latest ORGANIZATION movies?
yes_no_question organization	Was that because of the ORGANIZATION factory there?
yes_no_question organization	Yes can you imagine a ORGANIZATION bought them at that time?
yes_no_question organization	I hope ORGANIZATION does not agree to sell.
yes_no_question organization	Was it ORGANIZATION ?
yes_no_question organization	oh ok. did you know that ORGANIZATION expanded Waze carpooling service?
yes_no_question organization	Have u been to ORGANIZATION?
yes_no_question organization	Do you think ORGANIZATION just wanted to be humorous
yes_no_question organization	Did you hear about the ORGANIZATION secret room?
yes_no_question organization	Are you familiar with the ORGANIZATION?
yes_no_question person	Do you like PERSON?
yes_no_question person	Did you know that PERSON is the highest all-time box office star.
yes_no_question person	Do you like PERSON?
yes_no_question person	Do you think PERSON senator's don't make enough money?
yes_no_question person	Do you like PERSON' work?
yes_no_question person	Do you listen to PERSON at all?
yes_no_question person	Do you like PERSON?
yes_no_question person	Do you think PERSON is the best ever?
yes_no_question person	Didn't PERSON take the big prize last year?
yes_no_question person	Did you know that PERSON actually walks backwards to avoid being photographed.
yes_no_question position	Is that wealthiest POSITION?
yes_no_question position	DO the POSITION read enders game?
yes_no_question position	Did you know that in the 1800's if you were runner up in a presidential election you got to be POSITION!
yes_no_question position	Maybe but wouldn't that mean he would be POSITION Congress?
yes_no_question position	Do you know the functions exercised by a POSITION in other nations?
yes_no_question position	lol Do you know who the wealthiest POSITION were?
yes_no_question position	Wasnt it always the loser of the election became the POSITION?
yes_no_question position	Do you know much about the POSITION?
yes_no_question position	DO you know how the POSITION used to be elected?
yes_no_question position	Is there a rule that the POSITION is not allowed into the Senate?
yes_no_question softwareapplication	I know DO you know what SOFTWAREAPPLICATION is?
yes_no_question softwareapplication	Do you use SOFTWAREAPPLICATION much?
yes_no_question softwareapplication	Are you an active SOFTWAREAPPLICATION user?
yes_no_question softwareapplication	Did you see the SOFTWAREAPPLICATION vid where the guy who built the exploding glitter bomb package had also built a dartboard that moves for a bullseye every time?
yes_no_question softwareapplication	Do you use SOFTWAREAPPLICATION in your work too?
yes_no_question softwareapplication	Is it on SOFTWAREAPPLICATION?
yes_no_question softwareapplication	Do you watch SOFTWAREAPPLICATION videos?
yes_no_question softwareapplication	Do you watch SOFTWAREAPPLICATION?
yes_no_question softwareapplication	Do you like SOFTWAREAPPLICATION?
yes_no_question softwareapplication	Do you ever watch trailers on SOFTWAREAPPLICATION?
yes_no_question sport	Do you enjoy SPORT?
yes_no_question sport	Are they expensive because of SPORT player salaries?
yes_no_question sport	Are you a fan of SPORT?
yes_no_question sport	Are you a SPORT fan?
yes_no_question sport	Do you enjoy SPORT?
yes_no_question sport	Doesn't he seem like someone who would quit SPORT to game?
yes_no_question sport	Do you watch SPORT?
yes_no_question sport	I would be mad..... Do you like SPORT?
yes_no_question sport	Do you like SPORT as well?
yes_no_question sport	Do you watch SPORT?
yes_no_question sportteam	Have you heard of the SPORTTEAM?
yes_no_question sportteam	Will the SPORTTEAM do well this year?
yes_no_question sportteam	Are you a SPORTTEAM fan?
yes_no_question sportteam	Do you know who the coach of the SPORTTEAM is?
yes_no_question sportteam	Are you a SPORTTEAM fan too?
yes_no_question sportteam	Will SPORTTEAM make it?
yes_no_question sportteam	Do you like SPORTTEAM?
yes_no_question sportteam	Did A-Rod ever play for SPORTTEAM?
yes_no_question sportteam	Do you know much about SPORTTEAM?
yes_no_question sportteam	Is it SPORTTEAM?
yes_no_question vehicle	Do you know the VEHICLE general purpose computer?
yes_no_question vehicle	Do you own a VEHICLE?
yes_no_question vehicle	Do you love VEHICLE?
yes_no_question vehicle	Are you interested in VEHICLE?
yes_no_question vehicle	have you driven a VEHICLE?
yes_no_question vehicle	I had never even heard of a Macthbox Sky Busters Continental VEHICLE 787-8 - had you?
yes_no_question vehicle	Have you ever worn a pair of VEHICLE?
yes_no_question vehicle	Have you ever put a dog inside your VEHICLE before?
yes_no_question vehicle	Are you interested in VEHICLE?
yes_no_question vehicle	You have a VEHICLE?
yes_no_question videoname	Do you like VIDEONAME?
yes_no_question videoname	Did you ever watch VIDEONAME.
yes_no_question videoname	Do you like VIDEONAME?
yes_no_question videoname	Have you ever seen the VIDEONAME movies?
yes_no_question videoname	Did you ever watch VIDEONAME when you did?
yes_no_question videoname	Isn't she Erin from the show VIDEONAME?
yes_no_question videoname	Have you ever seen the movie VIDEONAME?
yes_no_question videoname	Did you see VIDEONAME?
yes_no_question videoname	Are you a VIDEONAME fan?
yes_no_question videoname	Yeah have you watched VIDEONAME?
yes_no_question year	"Did you know that using of ""red"" and ""blue"" colors only started in YEAR?"
yes_no_question year	Was that in YEAR?
yes_no_question year	Really in the YEAR?
yes_no_question year	Did you hear about that game in YEAR?
yes_no_question year	Didn't they start as a private dinner in YEAR?
yes_no_question year	am I reading that correctly about the YEAR study?
yes_no_question year	Did you know that it was the best selling album of the YEAR.
yes_no_question year	Do you know any other people who died in YEAR?
yes_no_question year	Did you watch the YEAR's Show?
yes_no_question year	Did you know the consistent use of red and blue didn't start until YEAR?
